s,m/s
Time,"Ub"
 6.4404289E+001, 9.7334289E-001
 6.4509017E+001, 9.7386147E-001
 6.4613744E+001, 9.7174255E-001
 6.4718472E+001, 9.6968209E-001
 6.4802254E+001, 9.6951338E-001
 6.4906982E+001, 9.6877775E-001
 6.5011710E+001, 9.6686370E-001
 6.5116438E+001, 9.6591380E-001
 6.5200220E+001, 9.6573438E-001
 6.5304948E+001, 9.6679382E-001
 6.5409675E+001, 9.6907527E-001
 6.5514403E+001, 9.6937426E-001
 6.5619131E+001, 9.6894144E-001
 6.5702913E+001, 9.6821083E-001
 6.5807641E+001, 9.6764089E-001
 6.5912369E+001, 9.6948966E-001
 6.6017097E+001, 9.7196330E-001
 6.6100879E+001, 9.7298877E-001
 6.6205607E+001, 9.7279613E-001
 6.6310334E+001, 9.7192533E-001
 6.6415062E+001, 9.7057771E-001
 6.6519790E+001, 9.7013970E-001
 6.6603572E+001, 9.7070842E-001
 6.6708300E+001, 9.7132486E-001
 6.6813028E+001, 9.7211856E-001
 6.6917755E+001, 9.7251861E-001
 6.7001538E+001, 9.7177321E-001
 6.7106265E+001, 9.7113315E-001
 6.7210993E+001, 9.7216048E-001
 6.7315721E+001, 9.7265979E-001
 6.7420449E+001, 9.7317153E-001
 6.7504231E+001, 9.7334488E-001
 6.7608959E+001, 9.7258838E-001
 6.7713686E+001, 9.7215262E-001
 6.7818414E+001, 9.7175498E-001
 6.7902196E+001, 9.7101919E-001
 6.8006924E+001, 9.7231869E-001
 6.8111652E+001, 9.7363585E-001
 6.8216380E+001, 9.7321142E-001
 6.8300162E+001, 9.7232550E-001
 6.8404890E+001, 9.7104358E-001
 6.8509617E+001, 9.7005319E-001
 6.8614345E+001, 9.7046167E-001
 6.8719073E+001, 9.7198821E-001
 6.8802855E+001, 9.7153649E-001
 6.8907583E+001, 9.7033506E-001
 6.9012311E+001, 9.6926749E-001
 6.9117039E+001, 9.6889033E-001
 6.9200821E+001, 9.7007097E-001
 6.9305549E+001, 9.7110391E-001
 6.9410276E+001, 9.7170141E-001
