s,m/s
Time,"Ub"
 5.6003918E+001, 9.5627192E-001
 5.6104359E+001, 9.5583781E-001
 5.6204801E+001, 9.5371268E-001
 5.6305242E+001, 9.5250028E-001
 5.6401615E+001, 9.5311906E-001
 5.6507905E+001, 9.5202027E-001
 5.6606082E+001, 9.4976654E-001
 5.6704258E+001, 9.5076412E-001
 5.6802435E+001, 9.5161998E-001
 5.6900612E+001, 9.5455286E-001
 5.7008606E+001, 9.5707919E-001
 5.7106783E+001, 9.5931392E-001
 5.7204959E+001, 9.6444459E-001
 5.7303136E+001, 9.6776596E-001
 5.7401313E+001, 9.6962938E-001
 5.7509307E+001, 9.6670650E-001
 5.7606296E+001, 9.6241571E-001
 5.7701219E+001, 9.6632218E-001
 5.7804772E+001, 9.6954920E-001
 5.7908324E+001, 9.6875726E-001
 5.8003248E+001, 9.6441639E-001
 5.8105075E+001, 9.6053287E-001
 5.8209490E+001, 9.5716617E-001
 5.8304414E+001, 9.5260829E-001
 5.8408829E+001, 9.4916665E-001
 5.8503753E+001, 9.4600273E-001
 5.8608068E+001, 9.4802742E-001
 5.8702037E+001, 9.4916517E-001
 5.8805402E+001, 9.4845851E-001
 5.8908768E+001, 9.4983458E-001
 5.9002737E+001, 9.5357797E-001
 5.9106103E+001, 9.5729698E-001
 5.9200071E+001, 9.6281671E-001
 5.9303437E+001, 9.6527931E-001
 5.9406803E+001, 9.6808277E-001
 5.9500772E+001, 9.6415439E-001
 5.9604137E+001, 9.6163422E-001
 5.9707503E+001, 9.5757081E-001
 5.9801472E+001, 9.5366925E-001
 5.9904838E+001, 9.5696541E-001
 6.0008048E+001, 9.5826819E-001
 6.0108189E+001, 9.5447390E-001
 6.0208330E+001, 9.5224040E-001
 6.0308472E+001, 9.5180844E-001
 6.0408613E+001, 9.5150869E-001
 6.0508754E+001, 9.5125586E-001
 6.0608895E+001, 9.5247559E-001
 6.0709037E+001, 9.5468523E-001
 6.0800074E+001, 9.5544951E-001
 6.0900215E+001, 9.5399201E-001
 6.1000357E+001, 9.5225949E-001
 6.1100498E+001, 9.5505332E-001
 6.1200639E+001, 9.6299716E-001
 6.1300781E+001, 9.6804280E-001
 6.1400922E+001, 9.6966914E-001
 6.1501063E+001, 9.6691054E-001
