s,m/s,Pa,kg/m/s,,,
Time,"UVEL","PRES","VISC","scarc-iter","scarc-rate","scarc-res"
 8.9341044E-001, 1.8489190E+000,-1.2793791E+000, 1.0000000E-001, 8.9000000E+001, 6.5098767E-001, 9.7747107E-015
 8.9988545E-001, 1.8449531E+000,-1.2622538E+000, 1.0000000E-001, 8.9000000E+001, 6.5017000E-001, 8.7979096E-015
 9.0577872E-001, 1.8412346E+000,-1.2448782E+000, 1.0000000E-001, 8.9000000E+001, 6.5091235E-001, 9.7910550E-015
 9.1226132E-001, 1.8370251E+000,-1.2279978E+000, 1.0000000E-001, 8.9000000E+001, 6.5005190E-001, 8.7511966E-015
 9.1816133E-001, 1.8330863E+000,-1.2109524E+000, 1.0000000E-001, 8.9000000E+001, 6.5070037E-001, 9.6051477E-015
 9.2465133E-001, 1.8286362E+000,-1.1943268E+000, 1.0000000E-001, 8.9000000E+001, 6.4965641E-001, 8.3621569E-015
 9.3055809E-001, 1.8244800E+000,-1.1776185E+000, 1.0000000E-001, 8.9000000E+001, 6.5078956E-001, 9.7978737E-015
 9.3705553E-001, 1.8197924E+000,-1.1612567E+000, 1.0000000E-001, 8.9000000E+001, 6.4954857E-001, 8.2936475E-015
 9.4296913E-001, 1.8154215E+000,-1.1448919E+000, 1.0000000E-001, 8.9000000E+001, 6.4954225E-001, 8.3058544E-015
 9.4947409E-001, 1.8104994E+000,-1.1288025E+000, 1.0000000E-001, 8.9000000E+001, 6.4955634E-001, 8.3394041E-015
 9.5539462E-001, 1.8059168E+000,-1.1127872E+000, 1.0000000E-001, 8.9000000E+001, 6.5065790E-001, 9.7098730E-015
 9.6190719E-001, 1.8007636E+000,-1.0969789E+000, 1.0000000E-001, 8.9000000E+001, 6.4918139E-001, 7.9404716E-015
 9.6783447E-001, 1.7959725E+000,-1.0813189E+000, 1.0000000E-001, 8.9000000E+001, 6.5055724E-001, 9.5905519E-015
 9.7435447E-001, 1.7905919E+000,-1.0658007E+000, 1.0000000E-001, 8.9000000E+001, 6.4907080E-001, 7.8237907E-015
 9.8028853E-001, 1.7855955E+000,-1.0505019E+000, 1.0000000E-001, 8.9000000E+001, 6.5034790E-001, 9.3143589E-015
 9.8681600E-001, 1.7799912E+000,-1.0352820E+000, 1.0000000E-001, 8.9000000E+001, 6.4868192E-001, 7.4056222E-015
 9.9275693E-001, 1.7747929E+000,-1.0203495E+000, 1.0000000E-001, 8.9000000E+001, 6.5016375E-001, 9.0599097E-015
 9.9929196E-001, 1.7689684E+000,-1.0054360E+000, 1.0000000E-001, 8.9000000E+001, 6.4838741E-001, 7.0876277E-015
 1.0117825E+000, 1.7604075E+000,-9.8322722E-001, 1.0000000E-001, 8.9000000E+001, 6.4894742E-001, 7.6906360E-015
 1.0177372E+000, 1.7519395E+000,-9.6208948E-001, 1.0000000E-001, 8.9000000E+001, 6.4973280E-001, 8.4518923E-015
 1.0242873E+000, 1.7456869E+000,-9.4781247E-001, 1.0000000E-001, 8.9000000E+001, 6.4752935E-001, 6.2226743E-015
 1.0302488E+000, 1.7399046E+000,-9.3400719E-001, 1.0000000E-001, 8.9000000E+001, 6.4964755E-001, 8.2887824E-015
 1.0368064E+000, 1.7334442E+000,-9.2005994E-001, 1.0000000E-001, 8.8000000E+001, 6.4778213E-001, 9.8598831E-015
 1.0427747E+000, 1.7274747E+000,-9.0663892E-001, 1.0000000E-001, 8.9000000E+001, 6.4919217E-001, 7.7143129E-015
 1.0493399E+000, 1.7208108E+000,-8.9302853E-001, 1.0000000E-001, 8.8000000E+001, 6.4665210E-001, 8.3695485E-015
 1.0553153E+000, 1.7146582E+000,-8.7999536E-001, 1.0000000E-001, 8.8000000E+001, 6.4777624E-001, 9.6989773E-015
 1.0618882E+000, 1.7077952E+000,-8.6672868E-001, 1.0000000E-001, 8.8000000E+001, 6.4550231E-001, 7.0730209E-015
 1.0678703E+000, 1.7014637E+000,-8.5408712E-001, 1.0000000E-001, 8.8000000E+001, 6.4660313E-001, 8.1672933E-015
 1.0744507E+000, 1.6944064E+000,-8.4117144E-001, 1.0000000E-001, 8.8000000E+001, 6.4440528E-001, 6.0105895E-015
 1.0804397E+000, 1.6879003E+000,-8.2892473E-001, 1.0000000E-001, 8.8000000E+001, 6.4544351E-001, 6.8790111E-015
 1.0870275E+000, 1.6806535E+000,-8.1636640E-001, 1.0000000E-001, 8.8000000E+001, 6.4343800E-001, 5.1912375E-015
 1.0930234E+000, 1.6739770E+000,-8.0451727E-001, 1.0000000E-001, 8.8000000E+001, 6.4455442E-001, 6.0028947E-015
 1.0996189E+000, 1.6665453E+000,-7.9232237E-001, 1.0000000E-001, 8.8000000E+001, 6.4270764E-001, 4.6250971E-015
 1.1056219E+000, 1.6597029E+000,-7.8087331E-001, 1.0000000E-001, 8.8000000E+001, 6.4381771E-001, 5.3417538E-015
 1.1122251E+000, 1.6520912E+000,-7.6904771E-001, 1.0000000E-001, 8.8000000E+001, 6.4270343E-001, 4.5463850E-015
 1.1182348E+000, 1.6450877E+000,-7.5800133E-001, 1.0000000E-001, 8.8000000E+001, 6.4341037E-001, 4.9669737E-015
 1.1248455E+000, 1.6373015E+000,-7.4655115E-001, 1.0000000E-001, 8.8000000E+001, 6.4288991E-001, 4.5829337E-015
 1.1308621E+000, 1.6301414E+000,-7.3590949E-001, 1.0000000E-001, 8.8000000E+001, 6.4363175E-001, 5.0287083E-015
 1.1374803E+000, 1.6221858E+000,-7.2483997E-001, 1.0000000E-001, 8.8000000E+001, 6.4326540E-001, 4.7369509E-015
 1.1435039E+000, 1.6148739E+000,-7.1460463E-001, 1.0000000E-001, 8.8000000E+001, 6.4424316E-001, 5.3658461E-015
 1.1501298E+000, 1.6067541E+000,-7.0392073E-001, 1.0000000E-001, 8.8000000E+001, 6.4424464E-001, 5.3135342E-015
 1.1561604E+000, 1.5992952E+000,-6.9409317E-001, 1.0000000E-001, 8.8000000E+001, 6.4503931E-001, 5.8677500E-015
 1.1627940E+000, 1.5910165E+000,-6.8379964E-001, 1.0000000E-001, 8.8000000E+001, 6.4530660E-001, 6.0235323E-015
 1.1688314E+000, 1.5834159E+000,-6.7438132E-001, 1.0000000E-001, 8.8000000E+001, 6.4590154E-001, 6.4708429E-015
 1.1754725E+000, 1.5749842E+000,-6.6448300E-001, 1.0000000E-001, 8.8000000E+001, 6.4629073E-001, 6.7522901E-015
 1.1815168E+000, 1.5672469E+000,-6.5547481E-001, 1.0000000E-001, 8.8000000E+001, 6.4664926E-001, 7.0223804E-015
 1.1881656E+000, 1.5586676E+000,-6.4597572E-001, 1.0000000E-001, 8.8000000E+001, 6.4705500E-001, 7.3431784E-015
 1.1942169E+000, 1.5507987E+000,-6.3737822E-001, 1.0000000E-001, 8.8000000E+001, 6.4737014E-001, 7.5912065E-015
 1.2008734E+000, 1.5420776E+000,-6.2828211E-001, 1.0000000E-001, 8.8000000E+001, 6.4785056E-001, 8.0183609E-015
 1.2069317E+000, 1.5340822E+000,-6.2009574E-001, 1.0000000E-001, 8.8000000E+001, 6.4808430E-001, 8.1979125E-015
 1.2135958E+000, 1.5252251E+000,-6.1140617E-001, 1.0000000E-001, 8.8000000E+001, 6.4857615E-001, 8.6726746E-015
 1.2196610E+000, 1.5171089E+000,-6.0363131E-001, 1.0000000E-001, 8.8000000E+001, 6.4849562E-001, 8.4973980E-015
 1.2263327E+000, 1.5081219E+000,-5.9535169E-001, 1.0000000E-001, 8.8000000E+001, 6.4895695E-001, 8.9534294E-015
