s,m/s,m/s,Pa,m/s,
Time,"u-vel","w-vel","pres","error","iter"
 3.2600000E-001, 8.8647061E-002, 6.9428209E-001,-1.3611340E-001, 9.7467770E-006, 3.6000000E+001
 3.2800000E-001, 8.7295997E-002, 7.0151243E-001,-1.4144326E-001, 9.9791061E-006, 3.6000000E+001
 3.3000000E-001, 8.5851704E-002, 7.0885762E-001,-1.4700992E-001, 9.7539448E-006, 3.8000000E+001
 3.3200000E-001, 8.4301267E-002, 7.1630800E-001,-1.5277888E-001, 9.9541782E-006, 3.8000000E+001
 3.3400000E-001, 8.2630209E-002, 7.2385201E-001,-1.5882720E-001, 9.7078100E-006, 4.0000000E+001
 3.3600000E-001, 8.0824588E-002, 7.3147657E-001,-1.6510909E-001, 9.9139038E-006, 4.0000000E+001
 3.3800000E-001, 7.8869222E-002, 7.3916680E-001,-1.7169902E-001, 9.7111102E-006, 4.2000000E+001
 3.4000000E-001, 7.6749635E-002, 7.4690631E-001,-1.7855217E-001, 9.9452694E-006, 4.2000000E+001
 3.4200000E-001, 7.4450341E-002, 7.5467708E-001,-1.8574114E-001, 9.8056258E-006, 4.4000000E+001
 3.4400000E-001, 7.1956696E-002, 7.6245970E-001,-1.9322381E-001, 9.7281348E-006, 4.5000000E+001
 3.4600000E-001, 6.9253500E-002, 7.7023325E-001,-2.0106101E-001, 9.7348666E-006, 4.6000000E+001
 3.4800000E-001, 6.6325922E-002, 7.7797561E-001,-2.0925237E-001, 9.7439714E-006, 4.7000000E+001
 3.5000000E-001, 6.3159391E-002, 7.8566353E-001,-2.1780823E-001, 9.7558386E-006, 4.8000000E+001
 3.5200000E-001, 5.8705276E-002, 7.9240087E-001,-3.3830997E-001, 9.8974684E-006, 2.6000000E+002
 3.5400000E-001, 5.3984567E-002, 7.9899572E-001,-3.4922713E-001, 9.7823022E-006, 3.4000000E+001
 3.5600000E-001, 4.8986202E-002, 8.0542676E-001,-3.6027153E-001, 9.8320134E-006, 3.0000000E+001
 3.5800000E-001, 4.3703440E-002, 8.1167364E-001,-3.7151645E-001, 9.8036117E-006, 4.5000000E+001
 3.6000000E-001, 3.8140099E-002, 8.1771426E-001,-3.8164828E-001, 9.7206690E-006, 4.4000000E+001
 3.6200000E-001, 3.2279085E-002, 8.2352121E-001,-3.9293845E-001, 9.9894847E-006, 4.0000000E+001
 3.6400000E-001, 2.6107858E-002, 8.2906880E-001,-4.0497160E-001, 9.9379006E-006, 4.0000000E+001
 3.6600000E-001, 1.9618825E-002, 8.3433282E-001,-4.1740220E-001, 9.9034109E-006, 4.1000000E+001
 3.6800000E-001, 1.2805352E-002, 8.3928948E-001,-4.3023147E-001, 9.9418850E-006, 4.2000000E+001
 3.7000000E-001, 5.6609548E-003, 8.4391504E-001,-4.4352030E-001, 9.9298000E-006, 4.3000000E+001
 3.7200000E-001,-1.8202853E-003, 8.4818574E-001,-4.5730387E-001, 9.8935737E-006, 4.4000000E+001
 3.7400000E-001,-9.6434532E-003, 8.5207778E-001,-4.7160264E-001, 9.8485091E-006, 4.5000000E+001
 3.7600000E-001,-1.7812748E-002, 8.5556714E-001,-4.8642017E-001, 9.7703020E-006, 4.6000000E+001
 3.7800000E-001,-2.6331542E-002, 8.5862920E-001,-5.0176643E-001, 9.9956563E-006, 4.6000000E+001
 3.8000000E-001,-3.5202607E-002, 8.6123868E-001,-5.1765590E-001, 9.7789963E-006, 4.8000000E+001
 3.8200000E-001,-4.4427224E-002, 8.6336912E-001,-5.3406330E-001, 9.9179447E-006, 4.8000000E+001
 3.8400000E-001,-5.4006526E-002, 8.6499277E-001,-5.5104573E-001, 9.9626124E-006, 4.9000000E+001
 3.8600000E-001,-6.3940174E-002, 8.6608043E-001,-5.6855593E-001, 9.9151701E-006, 5.0000000E+001
 3.8800000E-001,-7.4227116E-002, 8.6660111E-001,-5.8662300E-001, 9.8695410E-006, 5.1000000E+001
 3.9000000E-001,-8.4865243E-002, 8.6652215E-001,-6.0524567E-001, 9.8241313E-006, 5.2000000E+001
 3.9200000E-001,-9.5851297E-002, 8.6580918E-001,-6.2440747E-001, 9.9627295E-006, 5.2000000E+001
 3.9400000E-001,-1.0718095E-001, 8.6442643E-001,-6.4412172E-001, 9.9926031E-006, 5.3000000E+001
 3.9600000E-001,-1.1884824E-001, 8.6233695E-001,-6.6436346E-001, 9.9457813E-006, 5.4000000E+001
 3.9800000E-001,-1.3084585E-001, 8.5950310E-001,-6.8512704E-001, 9.8168972E-006, 5.5000000E+001
 4.0000000E-001,-1.4316495E-001, 8.5588691E-001,-7.0643199E-001, 9.9449878E-006, 5.5000000E+001
 4.0200000E-001,-1.5675911E-001, 8.5069558E-001,-8.3244735E-001, 9.8820858E-006, 2.6000000E+002
 4.0400000E-001,-1.7064241E-001, 8.4463756E-001,-8.5619846E-001, 9.6801057E-006, 2.9000000E+001
 4.0600000E-001,-1.8480333E-001, 8.3768842E-001,-8.8090086E-001, 9.8550134E-006, 3.4000000E+001
 4.0800000E-001,-1.9920398E-001, 8.2983039E-001,-9.0395902E-001, 9.9197092E-006, 5.0000000E+001
 4.1000000E-001,-2.1381981E-001, 8.2104051E-001,-9.2690906E-001, 9.8135753E-006, 4.5000000E+001
 4.1200000E-001,-2.2863530E-001, 8.1129876E-001,-9.5091194E-001, 9.9349477E-006, 4.1000000E+001
 4.1400000E-001,-2.4362664E-001, 8.0059209E-001,-9.7531485E-001, 9.7392078E-006, 4.1000000E+001
 4.1600000E-001,-2.5876509E-001, 7.8891350E-001,-9.9985539E-001, 9.9193461E-006, 4.0000000E+001
 4.1800000E-001,-2.7402061E-001, 7.7626169E-001,-1.0245610E+000, 9.9470035E-006, 4.0000000E+001
 4.2000000E-001,-2.8936112E-001, 7.6264102E-001,-1.0493944E+000, 9.8711456E-006, 4.0000000E+001
 4.2200000E-001,-3.0475309E-001, 7.4806178E-001,-1.0743713E+000, 9.7229789E-006, 4.0000000E+001
 4.2400000E-001,-3.2016127E-001, 7.3254025E-001,-1.0994041E+000, 9.8014201E-006, 3.9000000E+001
 4.2600000E-001,-3.3554985E-001, 7.1609823E-001,-1.1244755E+000, 9.7257505E-006, 3.9000000E+001
 4.2800000E-001,-3.5088192E-001, 6.9876283E-001,-1.1495204E+000, 9.7685651E-006, 3.8000000E+001
 4.3000000E-001,-3.6612078E-001, 6.8056597E-001,-1.1745219E+000, 9.9057130E-006, 3.7000000E+001
 4.3200000E-001,-3.8122993E-001, 6.6154416E-001,-1.1994295E+000, 9.7700610E-006, 3.7000000E+001
 4.3400000E-001,-3.9617320E-001, 6.4173748E-001,-1.2241851E+000, 9.9864234E-006, 3.5000000E+001
 4.3600000E-001,-4.1091637E-001, 6.2118966E-001,-1.2488513E+000, 9.8312388E-006, 3.5000000E+001
 4.3800000E-001,-4.2542517E-001, 5.9994793E-001,-1.2732280E+000, 9.8550719E-006, 3.4000000E+001
 4.4000000E-001,-4.3966756E-001, 5.7806158E-001,-1.2973358E+000, 9.8976212E-006, 3.3000000E+001
 4.4200000E-001,-4.5361347E-001, 5.5558171E-001,-1.3211436E+000, 9.8825029E-006, 3.2000000E+001
 4.4400000E-001,-4.6723482E-001, 5.3256084E-001,-1.3446124E+000, 9.8659983E-006, 3.1000000E+001
 4.4600000E-001,-4.8050565E-001, 5.0905248E-001,-1.3677108E+000, 9.7834701E-006, 3.0000000E+001
 4.4800000E-001,-4.9340218E-001, 4.8511062E-001,-1.3903951E+000, 9.7090282E-006, 2.9000000E+001
 4.5000000E-001,-5.0590289E-001, 4.6078936E-001,-1.4126420E+000, 9.6234654E-006, 2.8000000E+001
 4.5200000E-001,-5.1875444E-001, 4.3561811E-001,-1.5163796E+000, 9.9344968E-006, 2.5200000E+002
 4.5400000E-001,-5.3117934E-001, 4.1019469E-001,-1.5389232E+000, 9.8506973E-006, 4.8000000E+001
 4.5600000E-001,-5.4315515E-001, 3.8457851E-001,-1.5597880E+000, 9.8129626E-006, 2.8000000E+001
