s,m/s,m/s,Pa,m/s,,,,,m3/s,m3/s
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res","flow_in","flow_out"
 2.0800000E-001, 7.2401822E-002, 8.5467820E-002, 9.4640666E-002, 4.3579585E-004, 1.0000000E+000, 3.5000000E+001, 4.8889440E-001, 8.5258086E-009, 1.9160000E-002, 0.0000000E+000
 2.1000000E-001, 7.2553841E-002, 8.5648432E-002, 9.4655081E-002, 4.1564693E-004, 1.0000000E+000, 3.5000000E+001, 4.8165536E-001, 5.1539700E-009, 1.9200000E-002, 0.0000000E+000
 2.1200000E-001, 7.2705915E-002, 8.5829112E-002, 9.4669977E-002, 3.9084605E-004, 1.0000000E+000, 3.4000000E+001, 4.7714090E-001, 7.9143746E-009, 1.9240000E-002, 0.0000000E+000
 2.1400000E-001, 7.2858047E-002, 8.6009864E-002, 9.4685073E-002, 3.9783261E-004, 1.0000000E+000, 3.4000000E+001, 4.7814216E-001, 8.7044726E-009, 1.9280000E-002, 0.0000000E+000
 2.1600000E-001, 7.3010234E-002, 8.6190686E-002, 9.4700169E-002, 4.3195580E-004, 1.0000000E+000, 3.4000000E+001, 4.7740863E-001, 8.4897344E-009, 1.9320000E-002, 0.0000000E+000
 2.1800000E-001, 7.3162477E-002, 8.6371576E-002, 9.4715230E-002, 4.7192562E-004, 1.0000000E+000, 3.4000000E+001, 4.7072780E-001, 5.4084429E-009, 1.9360000E-002, 0.0000000E+000
 2.2000000E-001, 7.3314776E-002, 8.6552532E-002, 9.4730300E-002, 5.1113472E-004, 1.0000000E+000, 3.4000000E+001, 4.6734341E-001, 4.3530262E-009, 1.9400000E-002, 0.0000000E+000
 2.2200000E-001, 7.3467131E-002, 8.6733556E-002, 9.4745417E-002, 5.5132122E-004, 1.0000000E+000, 3.4000000E+001, 4.6678284E-001, 4.2987418E-009, 1.9440000E-002, 0.0000000E+000
 2.2400000E-001, 7.3619542E-002, 8.6914646E-002, 9.4760586E-002, 5.9527591E-004, 1.0000000E+000, 3.4000000E+001, 4.6620316E-001, 4.2401100E-009, 1.9480000E-002, 0.0000000E+000
 2.2600000E-001, 7.3772008E-002, 8.7095804E-002, 9.4775798E-002, 6.4430583E-004, 1.0000000E+000, 3.4000000E+001, 4.6486905E-001, 3.9588856E-009, 1.9520000E-002, 0.0000000E+000
 2.2800000E-001, 7.3924530E-002, 8.7277028E-002, 9.4791044E-002, 6.9857706E-004, 1.0000000E+000, 3.4000000E+001, 4.6239603E-001, 3.3994548E-009, 1.9560000E-002, 0.0000000E+000
 2.3000000E-001, 7.4077108E-002, 8.7458318E-002, 9.4806320E-002, 7.5807866E-004, 1.0000000E+000, 3.4000000E+001, 4.6292514E-001, 3.6388701E-009, 1.9600000E-002, 0.0000000E+000
