s,kW,
Time,"MY NET HF","TOTAL ENERGY ABORBED"
 5.6020172E+001, 0.0000000E+000, 0.0000000E+000
 5.6040319E+001, 0.0000000E+000, 0.0000000E+000
 5.6060328E+001, 0.0000000E+000, 0.0000000E+000
 5.6080076E+001, 0.0000000E+000, 0.0000000E+000
 5.6100076E+001, 0.0000000E+000, 0.0000000E+000
 5.6120187E+001, 0.0000000E+000, 0.0000000E+000
 5.6140267E+001, 0.0000000E+000, 0.0000000E+000
 5.6160033E+001, 0.0000000E+000, 0.0000000E+000
 5.6180211E+001, 0.0000000E+000, 0.0000000E+000
 5.6200074E+001, 0.0000000E+000, 0.0000000E+000
 5.6220215E+001, 0.0000000E+000, 0.0000000E+000
 5.6240109E+001, 0.0000000E+000, 0.0000000E+000
 5.6260208E+001, 0.0000000E+000, 0.0000000E+000
 5.6280197E+001, 0.0000000E+000, 0.0000000E+000
 5.6300064E+001, 0.0000000E+000, 0.0000000E+000
 5.6320066E+001, 0.0000000E+000, 0.0000000E+000
 5.6340349E+001, 0.0000000E+000, 0.0000000E+000
 5.6360187E+001, 0.0000000E+000, 0.0000000E+000
 5.6380256E+001, 0.0000000E+000, 0.0000000E+000
 5.6400044E+001, 0.0000000E+000, 0.0000000E+000
 5.6420340E+001, 0.0000000E+000, 0.0000000E+000
 5.6440128E+001, 0.0000000E+000, 0.0000000E+000
 5.6460060E+001, 0.0000000E+000, 0.0000000E+000
 5.6480309E+001, 0.0000000E+000, 0.0000000E+000
 5.6500045E+001, 0.0000000E+000, 0.0000000E+000
 5.6520265E+001, 0.0000000E+000, 0.0000000E+000
 5.6540151E+001, 0.0000000E+000, 0.0000000E+000
 5.6560265E+001, 0.0000000E+000, 0.0000000E+000
 5.6580030E+001, 0.0000000E+000, 0.0000000E+000
 5.6600257E+001, 0.0000000E+000, 0.0000000E+000
 5.6620379E+001, 0.0000000E+000, 0.0000000E+000
 5.6640374E+001, 0.0000000E+000, 0.0000000E+000
 5.6660126E+001, 0.0000000E+000, 0.0000000E+000
 5.6680136E+001, 0.0000000E+000, 0.0000000E+000
 5.6700245E+001, 0.0000000E+000, 0.0000000E+000
 5.6720367E+001, 0.0000000E+000, 0.0000000E+000
 5.6740209E+001, 0.0000000E+000, 0.0000000E+000
 5.6760097E+001, 0.0000000E+000, 0.0000000E+000
 5.6780151E+001, 0.0000000E+000, 0.0000000E+000
 5.6800057E+001, 0.0000000E+000, 0.0000000E+000
 5.6820219E+001, 0.0000000E+000, 0.0000000E+000
 5.6840313E+001, 0.0000000E+000, 0.0000000E+000
 5.6860399E+001, 0.0000000E+000, 0.0000000E+000
 5.6880114E+001, 0.0000000E+000, 0.0000000E+000
 5.6900237E+001, 0.0000000E+000, 0.0000000E+000
 5.6920125E+001, 0.0000000E+000, 0.0000000E+000
 5.6940432E+001, 0.0000000E+000, 0.0000000E+000
 5.6960022E+001, 0.0000000E+000, 0.0000000E+000
 5.6980137E+001, 0.0000000E+000, 0.0000000E+000
 5.7000080E+001, 0.0000000E+000, 0.0000000E+000
 5.7020017E+001, 0.0000000E+000, 0.0000000E+000
 5.7040105E+001, 0.0000000E+000, 0.0000000E+000
 5.7060319E+001, 0.0000000E+000, 0.0000000E+000
 5.7080011E+001, 0.0000000E+000, 0.0000000E+000
 5.7100064E+001, 0.0000000E+000, 0.0000000E+000
 5.7120188E+001, 0.0000000E+000, 0.0000000E+000
 5.7140292E+001, 0.0000000E+000, 0.0000000E+000
 5.7160343E+001, 0.0000000E+000, 0.0000000E+000
